sl_no,date_of_encashment,party_name,party_acc_no,prefix,bond_no,denom,pay_branch_code,pay_teller
1,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,775,"1,00,00,000",800,2770121
2,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3975,"1,00,00,000",800,2770121
3,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,OC,3967,"1,00,00,000",800,2770121
4,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10418,"10,00,000",800,2770121
5,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,126,"10,00,000",800,2770121
6,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,116,"10,00,000",800,2770121
7,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10466,"10,00,000",800,2770121
8,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,122,"10,00,000",800,2770121
9,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,158,"10,00,000",800,2770121
10,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,108,"10,00,000",800,2770121
11,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10446,"10,00,000",800,2770121
12,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10434,"10,00,000",800,2770121
13,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,162,"10,00,000",800,2770121
14,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,128,"10,00,000",800,2770121
15,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,113,"10,00,000",800,2770121
16,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10423,"10,00,000",800,2770121
17,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,110,"10,00,000",800,2770121
18,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,131,"10,00,000",800,2770121
19,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,164,"10,00,000",800,2770121
20,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,118,"10,00,000",800,2770121
21,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10449,"10,00,000",800,2770121
22,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10417,"10,00,000",800,2770121
23,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10426,"10,00,000",800,2770121
24,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10420,"10,00,000",800,2770121
25,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10443,"10,00,000",800,2770121
26,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10452,"10,00,000",800,2770121
27,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,160,"10,00,000",800,2770121
28,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10408,"10,00,000",800,2770121
29,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,120,"10,00,000",800,2770121
30,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10464,"10,00,000",800,2770121
31,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,124,"10,00,000",800,2770121
32,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10440,"10,00,000",800,2770121
33,2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,TL,10469,"10,00,000",800,2770121
34,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,6646,"1,00,00,000",847,3367975
35,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,6644,"1,00,00,000",847,3367975
36,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5470,"1,00,00,000",847,3367975
37,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5455,"1,00,00,000",847,3367975
38,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5467,"1,00,00,000",847,3367975
39,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5460,"1,00,00,000",847,3367975
40,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5463,"1,00,00,000",847,3367975
41,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5451,"1,00,00,000",847,3367975
42,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5458,"1,00,00,000",847,3367975
43,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5454,"1,00,00,000",847,3367975
44,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5474,"1,00,00,000",847,3367975
45,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5459,"1,00,00,000",847,3367975
46,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5475,"1,00,00,000",847,3367975
47,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5464,"1,00,00,000",847,3367975
48,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5453,"1,00,00,000",847,3367975
49,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5472,"1,00,00,000",847,3367975
50,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5471,"1,00,00,000",847,3367975
51,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5468,"1,00,00,000",847,3367975
52,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5450,"1,00,00,000",847,3367975
53,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5462,"1,00,00,000",847,3367975
54,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5457,"1,00,00,000",847,3367975
55,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,OC,5466,"1,00,00,000",847,3367975
56,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10876,"10,00,000",847,3367975
57,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10877,"10,00,000",847,3367975
58,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10885,"10,00,000",847,3367975
59,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10856,"10,00,000",847,3367975
60,2019-04-12,BHARAT RASHTRA SAMITHI,*******7477,TL,10870,"10,00,000",847,3367975
61,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4274,"1,00,00,000",691,3627829
62,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4276,"1,00,00,000",691,3627829
63,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5827,"1,00,00,000",691,3627829
64,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5847,"1,00,00,000",691,3627829
65,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4303,"1,00,00,000",691,3627829
66,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4301,"1,00,00,000",691,3627829
67,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5831,"1,00,00,000",691,3627829
68,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4321,"1,00,00,000",691,3627829
69,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5861,"1,00,00,000",691,3627829
70,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4325,"1,00,00,000",691,3627829
71,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5843,"1,00,00,000",691,3627829
72,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5837,"1,00,00,000",691,3627829
73,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5817,"1,00,00,000",691,3627829
74,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4319,"1,00,00,000",691,3627829
75,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4293,"1,00,00,000",691,3627829
76,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4305,"1,00,00,000",691,3627829
77,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5801,"1,00,00,000",691,3627829
78,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5825,"1,00,00,000",691,3627829
79,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4313,"1,00,00,000",691,3627829
80,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5805,"1,00,00,000",691,3627829
81,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5829,"1,00,00,000",691,3627829
82,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5821,"1,00,00,000",691,3627829
83,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5839,"1,00,00,000",691,3627829
84,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5841,"1,00,00,000",691,3627829
85,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5813,"1,00,00,000",691,3627829
86,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5833,"1,00,00,000",691,3627829
87,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4327,"1,00,00,000",691,3627829
88,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4311,"1,00,00,000",691,3627829
89,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4347,"1,00,00,000",691,3627829
90,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4317,"1,00,00,000",691,3627829
91,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5809,"1,00,00,000",691,3627829
92,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5855,"1,00,00,000",691,3627829
93,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4333,"1,00,00,000",691,3627829
94,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4335,"1,00,00,000",691,3627829
95,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4337,"1,00,00,000",691,3627829
96,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4343,"1,00,00,000",691,3627829
97,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4295,"1,00,00,000",691,3627829
98,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4331,"1,00,00,000",691,3627829
99,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5819,"1,00,00,000",691,3627829
100,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5853,"1,00,00,000",691,3627829
101,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5857,"1,00,00,000",691,3627829
102,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4349,"1,00,00,000",691,3627829
103,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5803,"1,00,00,000",691,3627829
104,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5849,"1,00,00,000",691,3627829
105,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4299,"1,00,00,000",691,3627829
106,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4329,"1,00,00,000",691,3627829
107,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4315,"1,00,00,000",691,3627829
108,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4339,"1,00,00,000",691,3627829
109,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5835,"1,00,00,000",691,3627829
110,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5807,"1,00,00,000",691,3627829
111,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5811,"1,00,00,000",691,3627829
112,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4309,"1,00,00,000",691,3627829
113,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4341,"1,00,00,000",691,3627829
114,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5815,"1,00,00,000",691,3627829
115,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4345,"1,00,00,000",691,3627829
116,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5851,"1,00,00,000",691,3627829
117,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4297,"1,00,00,000",691,3627829
118,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5845,"1,00,00,000",691,3627829
119,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4307,"1,00,00,000",691,3627829
120,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4323,"1,00,00,000",691,3627829
121,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5859,"1,00,00,000",691,3627829
122,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5823,"1,00,00,000",691,3627829
123,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5856,"1,00,00,000",691,3627829
124,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5868,"1,00,00,000",691,3627829
125,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5870,"1,00,00,000",691,3627829
126,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5846,"1,00,00,000",691,3627829
127,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5866,"1,00,00,000",691,3627829
128,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5848,"1,00,00,000",691,3627829
129,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5852,"1,00,00,000",691,3627829
130,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5874,"1,00,00,000",691,3627829
131,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5872,"1,00,00,000",691,3627829
132,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5850,"1,00,00,000",691,3627829
133,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5858,"1,00,00,000",691,3627829
134,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5864,"1,00,00,000",691,3627829
135,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5862,"1,00,00,000",691,3627829
136,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5860,"1,00,00,000",691,3627829
137,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5854,"1,00,00,000",691,3627829
138,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5818,"1,00,00,000",691,3627829
139,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5840,"1,00,00,000",691,3627829
140,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5844,"1,00,00,000",691,3627829
141,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5836,"1,00,00,000",691,3627829
142,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5820,"1,00,00,000",691,3627829
143,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5828,"1,00,00,000",691,3627829
144,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5832,"1,00,00,000",691,3627829
145,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5842,"1,00,00,000",691,3627829
146,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5830,"1,00,00,000",691,3627829
147,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5834,"1,00,00,000",691,3627829
148,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5824,"1,00,00,000",691,3627829
149,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5822,"1,00,00,000",691,3627829
150,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5826,"1,00,00,000",691,3627829
151,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5838,"1,00,00,000",691,3627829
152,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5802,"1,00,00,000",691,3627829
153,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4342,"1,00,00,000",691,3627829
154,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4334,"1,00,00,000",691,3627829
155,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5804,"1,00,00,000",691,3627829
156,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4340,"1,00,00,000",691,3627829
157,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4348,"1,00,00,000",691,3627829
158,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4346,"1,00,00,000",691,3627829
159,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4330,"1,00,00,000",691,3627829
160,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4344,"1,00,00,000",691,3627829
161,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4338,"1,00,00,000",691,3627829
162,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4332,"1,00,00,000",691,3627829
163,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4336,"1,00,00,000",691,3627829
164,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5806,"1,00,00,000",691,3627829
165,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4350,"1,00,00,000",691,3627829
166,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6603,"1,00,00,000",691,3627829
167,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5886,"1,00,00,000",691,3627829
168,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5896,"1,00,00,000",691,3627829
169,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5890,"1,00,00,000",691,3627829
170,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5888,"1,00,00,000",691,3627829
171,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6609,"1,00,00,000",691,3627829
172,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5882,"1,00,00,000",691,3627829
173,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6607,"1,00,00,000",691,3627829
174,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6611,"1,00,00,000",691,3627829
175,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5892,"1,00,00,000",691,3627829
176,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5894,"1,00,00,000",691,3627829
177,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6605,"1,00,00,000",691,3627829
178,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5885,"1,00,00,000",691,3627829
179,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5871,"1,00,00,000",691,3300196
180,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5875,"1,00,00,000",691,3627829
181,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5873,"1,00,00,000",691,3627829
182,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2588,"1,00,00,000",691,3300196
183,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2793,"1,00,00,000",691,3300196
184,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2810,"1,00,00,000",691,3300196
185,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4488,"1,00,00,000",691,3300196
186,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5148,"1,00,00,000",691,3300196
187,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4432,"1,00,00,000",691,3300196
188,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5173,"1,00,00,000",691,3300196
189,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5107,"1,00,00,000",691,3300196
190,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5101,"1,00,00,000",691,3300196
191,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5211,"1,00,00,000",691,3300196
192,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5102,"1,00,00,000",691,3300196
193,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5130,"1,00,00,000",691,3300196
194,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5149,"1,00,00,000",691,3300196
195,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5216,"1,00,00,000",691,3300196
196,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5213,"1,00,00,000",691,3300196
197,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5151,"1,00,00,000",691,3300196
198,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5215,"1,00,00,000",691,3300196
199,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5214,"1,00,00,000",691,3300196
200,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5103,"1,00,00,000",691,3300196
201,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5128,"1,00,00,000",691,3300196
202,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5105,"1,00,00,000",691,3300196
203,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5212,"1,00,00,000",691,3300196
204,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5126,"1,00,00,000",691,3300196
205,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5150,"1,00,00,000",691,3300196
206,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5142,"1,00,00,000",691,3300196
207,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5127,"1,00,00,000",691,3300196
208,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5144,"1,00,00,000",691,3300196
209,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5106,"1,00,00,000",691,3300196
210,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5123,"1,00,00,000",691,3300196
211,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5146,"1,00,00,000",691,3300196
212,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5147,"1,00,00,000",691,3300196
213,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5108,"1,00,00,000",691,3300196
214,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5124,"1,00,00,000",691,3300196
215,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5121,"1,00,00,000",691,3300196
216,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5143,"1,00,00,000",691,3300196
217,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5145,"1,00,00,000",691,3300196
218,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5109,"1,00,00,000",691,3300196
219,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5129,"1,00,00,000",691,3300196
220,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5104,"1,00,00,000",691,3300196
221,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5192,"1,00,00,000",691,3627829
222,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4433,"1,00,00,000",691,3300196
223,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5110,"1,00,00,000",691,3300196
224,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5122,"1,00,00,000",691,3300196
225,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5125,"1,00,00,000",691,3300196
226,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,740,"1,00,00,000",691,3300196
227,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,742,"1,00,00,000",691,3300196
228,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,744,"1,00,00,000",691,3300196
229,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6217,"1,00,00,000",691,3300196
230,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6221,"1,00,00,000",691,3300196
231,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6233,"1,00,00,000",691,3300196
232,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6241,"1,00,00,000",691,3300196
233,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6247,"1,00,00,000",691,3300196
234,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6214,"1,00,00,000",691,3300196
235,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6238,"1,00,00,000",691,3300196
236,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4592,"1,00,00,000",691,3300196
237,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6203,"1,00,00,000",691,3300196
238,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6231,"1,00,00,000",691,3300196
239,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6227,"1,00,00,000",691,3300196
240,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4574,"1,00,00,000",691,3300196
241,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6207,"1,00,00,000",691,3300196
242,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6211,"1,00,00,000",691,3300196
243,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6243,"1,00,00,000",691,3300196
244,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6225,"1,00,00,000",691,3300196
245,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6245,"1,00,00,000",691,3300196
246,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6230,"1,00,00,000",691,3300196
247,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6204,"1,00,00,000",691,3300196
248,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4582,"1,00,00,000",691,3300196
249,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4584,"1,00,00,000",691,3300196
250,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6222,"1,00,00,000",691,3300196
251,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6232,"1,00,00,000",691,3300196
252,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6246,"1,00,00,000",691,3300196
253,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6248,"1,00,00,000",691,3300196
254,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6206,"1,00,00,000",691,3300196
255,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6210,"1,00,00,000",691,3300196
256,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6228,"1,00,00,000",691,3300196
257,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6242,"1,00,00,000",691,3300196
258,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6215,"1,00,00,000",691,3300196
259,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6216,"1,00,00,000",691,3300196
260,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6236,"1,00,00,000",691,3300196
261,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6202,"1,00,00,000",691,3300196
262,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6249,"1,00,00,000",691,3300196
